colour	x	y	showSelected1	fill
#C77CFF	30706	7168.39870956809	Not classified	#C77CFF
#C77CFF	532742	27631.8985401645	Not classified	#C77CFF
#00BFC4	12551790	188.552120093363	IDA	#00BFC4
#7CAE00	26070443	2011.42143698411	IBRD	#7CAE00
#C77CFF	7578903	5231.31468192568	Not classified	#C77CFF
#C77CFF	13893000	6992.14581029693	Not classified	#C77CFF
#C77CFF	245663	1637.03238076647	Not classified	#C77CFF
#00BFC4	72265173	268.399051858828	IDA	#00BFC4
#C77CFF	9800700	6619.80730160472	Not classified	#C77CFF
#00BFC4	6154548	152.7281454003	IDA	#00BFC4
#00BFC4	3676991	114.492166738147	IDA	#00BFC4
#00BFC4	3262959	207.440589724803	IDA	#00BFC4
#C77CFF	53000	6509.43396226415	Not classified	#C77CFF
#C77CFF	160791	7265.98071816909	Not classified	#C77CFF
#F8766D	4768177	504.322228636733	Blend	#F8766D
#7CAE00	108219657	1143.13221827052	IBRD	#7CAE00
#C77CFF	188882	3156.46805942334	Not classified	#C77CFF
#7CAE00	822806	431.655475744192	IBRD	#7CAE00
#7CAE00	133261	885.977908578144	IBRD	#7CAE00
#C77CFF	23209000	7354.26835769756	Not classified	#C77CFF
#00BFC4	22902275	447.001145232562	IDA	#00BFC4
#00BFC4	2017379	187.698997448999	IDA	#00BFC4
#00BFC4	1553903	493.661881738192	IDA	#00BFC4
#00BFC4	6606395	589.404536692168	IDA	#00BFC4
#7CAE00	10426432	693.092024690049	IBRD	#7CAE00
#00BFC4	7740196	355.646111360301	IDA	#00BFC4
#7CAE00	916395000	175.865754029463	IBRD	#7CAE00
#7CAE00	23996249	545.861726216763	IBRD	#7CAE00
#7CAE00	2052076	955.551127672782	IBRD	#7CAE00
#C77CFF	9438366	1380.2617161105	Not classified	#C77CFF
#C77CFF	649755	976.329758102059	Not classified	#C77CFF
#C77CFF	78673554	6035.00841537425	Not classified	#C77CFF
#C77CFF	5059862	7824.97555059526	Not classified	#C77CFF
#7CAE00	5168720	696.361980529028	IBRD	#7CAE00
#7CAE00	16833516	924.223701861674	IBRD	#7CAE00
#7CAE00	6928694	1115.89244045268	IBRD	#7CAE00
#7CAE00	40359038	283.405303987476	IBRD	#7CAE00
#C77CFF	35530725	3136.49791611609	Not classified	#C77CFF
#C77CFF	4711440	6181.20008351598	Not classified	#C77CFF
#7CAE00	576592	1186.74611316174	IBRD	#7CAE00
#C77CFF	54033095	6581.16821287308	Not classified	#C77CFF
#7CAE00	648174	3328.72490505192	IBRD	#7CAE00
#C77CFF	56225800	4204.92204349949	Not classified	#C77CFF
#00BFC4	9831636	285.822856743122	IDA	#00BFC4
#C77CFF	49600	4257.91257432112	Not classified	#C77CFF
#00BFC4	521070	221.044653762794	IDA	#00BFC4
#7CAE00	238237	437.781047395816	IBRD	#7CAE00
#C77CFF	9046541	3006.811651671	Not classified	#C77CFF
#7CAE00	6194218	588.5973067141	IBRD	#7CAE00
#00BFC4	778096	140.067231079147	IDA	#00BFC4
#00BFC4	748877	660.71151916636	IDA	#00BFC4
#C77CFF	4461600	2252.11188136859	Not classified	#C77CFF
#00BFC4	3107735	361.678199717801	IDA	#00BFC4
#C77CFF	10540525	1038.78080335555	Not classified	#C77CFF
#7CAE00	129210098	248.803719718973	IBRD	#7CAE00
#C77CFF	3189550	2920.6273446931	Not classified	#C77CFF
